month,sku_id,geography_id,distributor_id,channel,units_sold,gross_revenue_inr,discount_inr,net_revenue_inr,cogs_inr,gross_margin_inr,gross_margin_pct
2024-01-01,FG-DW-LEM-500,GEO-S-001,DST-S-GT-01,General Trade,1292,148580.0,11886.4,136693.6,80233.2,56460.4,41.3
2024-01-01,FG-DW-LEM-500,GEO-S-001,DST-S-MT-01,Modern Trade,905,104075.0,12489.0,91586.0,56200.5,35385.5,38.64
2024-01-01,FG-DW-LEM-500,GEO-S-001,DST-S-EC-01,E-commerce,631,72565.0,10884.75,61680.25,39185.1,22495.15,36.47
2024-01-01,FG-DW-LEM-500,GEO-S-002,DST-S-GT-01,General Trade,1324,152260.0,12180.8,140079.2,82220.4,57858.8,41.3
2024-01-01,FG-DW-LEM-500,GEO-S-002,DST-S-MT-01,Modern Trade,871,100165.0,12019.8,88145.2,54089.1,34056.1,38.64
2024-01-01,FG-DW-LEM-500,GEO-S-002,DST-S-EC-01,E-commerce,581,66815.0,10022.25,56792.75,36080.1,20712.65,36.47
2024-01-01,FG-DW-LEM-500,GEO-W-001,DST-W-GT-01,General Trade,1194,137310.0,10984.8,126325.2,74147.4,52177.8,41.3
2024-01-01,FG-DW-LEM-500,GEO-W-001,DST-W-MT-01,Modern Trade,868,99820.0,11978.4,87841.6,53902.8,33938.8,38.64
2024-01-01,FG-DW-LEM-500,GEO-W-001,DST-W-EC-01,E-commerce,570,65550.0,9832.5,55717.5,35397.0,20320.5,36.47
2024-01-01,FG-DW-LEM-500,GEO-W-002,DST-W-GT-01,General Trade,1147,131905.0,10552.4,121352.6,71228.7,50123.9,41.3
2024-01-01,FG-DW-LEM-500,GEO-W-002,DST-W-MT-01,Modern Trade,910,104650.0,12558.0,92092.0,56511.0,35581.0,38.64
2024-01-01,FG-DW-LEM-500,GEO-W-002,DST-W-EC-01,E-commerce,588,67620.0,10143.0,57477.0,36514.8,20962.2,36.47
2024-01-01,FG-DW-LEM-500,GEO-N-001,DST-N-GT-01,General Trade,1081,124315.0,9945.2,114369.8,67130.1,47239.7,41.3
2024-01-01,FG-DW-LEM-500,GEO-N-001,DST-N-MT-01,Modern Trade,834,95910.0,11509.2,84400.8,51791.4,32609.4,38.64
2024-01-01,FG-DW-LEM-500,GEO-N-001,DST-N-EC-01,E-commerce,527,60605.0,9090.75,51514.25,32726.7,18787.55,36.47
2024-01-01,FG-DW-LEM-500,GEO-N-002,DST-N-GT-01,General Trade,1041,119715.0,9577.2,110137.8,64646.1,45491.7,41.3
2024-01-01,FG-DW-LEM-500,GEO-N-002,DST-N-MT-01,Modern Trade,809,93035.0,11164.2,81870.8,50238.9,31631.9,38.64
2024-01-01,FG-DW-LEM-500,GEO-N-002,DST-N-EC-01,E-commerce,498,57270.0,8590.5,48679.5,30925.8,17753.7,36.47
2024-01-01,FG-DW-LEM-500,GEO-E-001,DST-E-GT-01,General Trade,979,112585.0,9006.8,103578.2,60795.9,42782.3,41.3
2024-01-01,FG-DW-LEM-500,GEO-E-001,DST-E-MT-01,Modern Trade,699,80385.0,9646.2,70738.8,43407.9,27330.9,38.64
