month,sku_id,geography_id,distributor_id,channel,opening_stock_units,received_units,units_sold,closing_stock_units,stockout_days,inventory_status
2024-01-01,FG-DW-LEM-500,GEO-S-001,DST-S-GT-01,General Trade,422,1285,1292,415,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-S-001,DST-S-MT-01,Modern Trade,209,752,905,56,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-S-001,DST-S-EC-01,E-commerce,170,636,631,175,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-S-002,DST-S-GT-01,General Trade,346,1267,1324,289,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-S-002,DST-S-MT-01,Modern Trade,231,830,871,190,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-S-002,DST-S-EC-01,E-commerce,176,544,581,139,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-W-001,DST-W-GT-01,General Trade,407,1097,1194,310,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-W-001,DST-W-MT-01,Modern Trade,204,812,868,148,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-W-001,DST-W-EC-01,E-commerce,160,540,570,130,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-W-002,DST-W-GT-01,General Trade,277,1116,1147,246,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-W-002,DST-W-MT-01,Modern Trade,278,832,910,200,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-W-002,DST-W-EC-01,E-commerce,133,538,588,83,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-N-001,DST-N-GT-01,General Trade,344,1112,1081,375,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-N-001,DST-N-MT-01,Modern Trade,204,815,834,185,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-N-001,DST-N-EC-01,E-commerce,164,472,527,109,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-N-002,DST-N-GT-01,General Trade,220,856,1041,35,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-N-002,DST-N-MT-01,Modern Trade,177,692,809,60,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-N-002,DST-N-EC-01,E-commerce,131,440,498,73,1,Healthy
2024-01-01,FG-DW-LEM-500,GEO-E-001,DST-E-GT-01,General Trade,259,892,979,172,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-E-001,DST-E-MT-01,Modern Trade,154,679,699,134,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-E-001,DST-E-EC-01,E-commerce,99,450,451,98,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-E-002,DST-E-GT-01,General Trade,285,925,920,290,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-E-002,DST-E-MT-01,Modern Trade,161,617,734,44,0,Healthy
2024-01-01,FG-DW-LEM-500,GEO-E-002,DST-E-EC-01,E-commerce,122,435,451,106,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-S-001,DST-S-GT-01,General Trade,167,726,821,72,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-S-001,DST-S-MT-01,Modern Trade,203,537,609,131,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-S-001,DST-S-EC-01,E-commerce,129,398,409,118,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-S-002,DST-S-GT-01,General Trade,207,741,847,101,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-S-002,DST-S-MT-01,Modern Trade,167,607,628,146,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-S-002,DST-S-EC-01,E-commerce,97,400,408,89,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-W-001,DST-W-GT-01,General Trade,243,793,844,192,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-W-001,DST-W-MT-01,Modern Trade,132,553,566,119,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-W-001,DST-W-EC-01,E-commerce,94,331,366,59,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-W-002,DST-W-GT-01,General Trade,218,721,752,187,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-W-002,DST-W-MT-01,Modern Trade,148,600,590,158,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-W-002,DST-W-EC-01,E-commerce,84,382,390,76,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-N-001,DST-N-GT-01,General Trade,182,737,702,217,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-N-001,DST-N-MT-01,Modern Trade,122,465,505,82,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-N-001,DST-N-EC-01,E-commerce,79,321,328,72,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-N-002,DST-N-GT-01,General Trade,169,678,724,123,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-N-002,DST-N-MT-01,Modern Trade,179,539,538,180,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-N-002,DST-N-EC-01,E-commerce,84,298,346,36,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-E-001,DST-E-GT-01,General Trade,200,593,603,190,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-E-001,DST-E-MT-01,Modern Trade,153,392,462,83,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-E-001,DST-E-EC-01,E-commerce,90,260,299,51,1,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-E-002,DST-E-GT-01,General Trade,169,568,625,112,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-E-002,DST-E-MT-01,Modern Trade,162,424,474,112,0,Healthy
2024-01-01,FG-DW-LEM-1L,GEO-E-002,DST-E-EC-01,E-commerce,94,292,300,86,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-S-001,DST-S-GT-01,General Trade,342,926,1013,255,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-S-001,DST-S-MT-01,Modern Trade,164,647,732,79,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-S-001,DST-S-EC-01,E-commerce,159,445,479,125,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-S-002,DST-S-GT-01,General Trade,235,942,1011,166,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-S-002,DST-S-MT-01,Modern Trade,211,609,687,133,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-S-002,DST-S-EC-01,E-commerce,138,468,467,139,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-W-001,DST-W-GT-01,General Trade,214,870,901,183,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-W-001,DST-W-MT-01,Modern Trade,169,653,662,160,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-W-001,DST-W-EC-01,E-commerce,129,376,436,69,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-W-002,DST-W-GT-01,General Trade,202,931,973,160,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-W-002,DST-W-MT-01,Modern Trade,228,618,656,190,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-W-002,DST-W-EC-01,E-commerce,132,458,458,132,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-N-001,DST-N-GT-01,General Trade,232,761,777,216,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-N-001,DST-N-MT-01,Modern Trade,189,532,608,113,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-N-001,DST-N-EC-01,E-commerce,140,351,402,89,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-N-002,DST-N-GT-01,General Trade,280,747,853,174,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-N-002,DST-N-MT-01,Modern Trade,161,624,634,151,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-N-002,DST-N-EC-01,E-commerce,92,385,413,64,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-E-001,DST-E-GT-01,General Trade,171,630,721,80,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-E-001,DST-E-MT-01,Modern Trade,136,474,531,79,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-E-001,DST-E-EC-01,E-commerce,74,350,363,61,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-E-002,DST-E-GT-01,General Trade,153,647,725,75,1,Healthy
2024-01-01,FG-SC-LAV-500,GEO-E-002,DST-E-MT-01,Modern Trade,170,489,513,146,0,Healthy
2024-01-01,FG-SC-LAV-500,GEO-E-002,DST-E-EC-01,E-commerce,90,291,335,46,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-S-001,DST-S-GT-01,General Trade,201,645,626,220,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-S-001,DST-S-MT-01,Modern Trade,114,437,490,61,1,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-S-001,DST-S-EC-01,E-commerce,70,280,314,36,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-S-002,DST-S-GT-01,General Trade,197,577,668,106,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-S-002,DST-S-MT-01,Modern Trade,159,398,472,85,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-S-002,DST-S-EC-01,E-commerce,103,308,314,97,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-W-001,DST-W-GT-01,General Trade,157,593,620,130,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-W-001,DST-W-MT-01,Modern Trade,100,410,442,68,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-W-001,DST-W-EC-01,E-commerce,75,285,296,64,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-W-002,DST-W-GT-01,General Trade,176,587,589,174,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-W-002,DST-W-MT-01,Modern Trade,99,366,441,24,1,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-W-002,DST-W-EC-01,E-commerce,90,277,286,81,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-N-001,DST-N-GT-01,General Trade,160,477,523,114,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-N-001,DST-N-MT-01,Modern Trade,116,359,414,61,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-N-001,DST-N-EC-01,E-commerce,80,223,258,45,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-N-002,DST-N-GT-01,General Trade,152,512,549,115,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-N-002,DST-N-MT-01,Modern Trade,120,381,414,87,1,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-N-002,DST-N-EC-01,E-commerce,87,274,268,93,1,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-E-001,DST-E-GT-01,General Trade,145,477,494,128,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-E-001,DST-E-MT-01,Modern Trade,94,317,355,56,1,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-E-001,DST-E-EC-01,E-commerce,66,187,227,26,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-E-002,DST-E-GT-01,General Trade,157,399,480,76,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-E-002,DST-E-MT-01,Modern Trade,93,319,332,80,0,Healthy
2024-01-01,FG-SC-LAV-1L,GEO-E-002,DST-E-EC-01,E-commerce,73,188,218,43,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-S-001,DST-S-GT-01,General Trade,347,1039,1044,342,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-S-001,DST-S-MT-01,Modern Trade,174,699,783,90,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-S-001,DST-S-EC-01,E-commerce,139,471,537,73,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-S-002,DST-S-GT-01,General Trade,249,1074,1062,261,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-S-002,DST-S-MT-01,Modern Trade,180,840,803,217,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-S-002,DST-S-EC-01,E-commerce,146,527,556,117,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-W-001,DST-W-GT-01,General Trade,220,1019,1011,228,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-W-001,DST-W-MT-01,Modern Trade,221,740,782,179,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-W-001,DST-W-EC-01,E-commerce,138,395,474,59,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-W-002,DST-W-GT-01,General Trade,228,905,1018,115,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-W-002,DST-W-MT-01,Modern Trade,162,753,730,185,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-W-002,DST-W-EC-01,E-commerce,143,438,486,95,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-N-001,DST-N-GT-01,General Trade,232,900,962,170,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-N-001,DST-N-MT-01,Modern Trade,161,592,641,112,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-N-001,DST-N-EC-01,E-commerce,126,476,455,147,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-N-002,DST-N-GT-01,General Trade,257,803,940,120,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-N-002,DST-N-MT-01,Modern Trade,170,663,673,160,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-N-002,DST-N-EC-01,E-commerce,121,386,421,86,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-E-001,DST-E-GT-01,General Trade,170,847,819,198,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-E-001,DST-E-MT-01,Modern Trade,188,542,592,138,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-E-001,DST-E-EC-01,E-commerce,135,351,396,90,1,Healthy
2024-01-01,PH-HW-ALO-250,GEO-E-002,DST-E-GT-01,General Trade,257,735,818,174,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-E-002,DST-E-MT-01,Modern Trade,164,674,643,195,0,Healthy
2024-01-01,PH-HW-ALO-250,GEO-E-002,DST-E-EC-01,E-commerce,118,376,388,106,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-S-001,DST-S-GT-01,General Trade,234,736,723,247,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-S-001,DST-S-MT-01,Modern Trade,137,464,562,39,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-S-001,DST-S-EC-01,E-commerce,107,369,365,111,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-S-002,DST-S-GT-01,General Trade,179,705,795,89,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-S-002,DST-S-MT-01,Modern Trade,160,584,577,167,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-S-002,DST-S-EC-01,E-commerce,107,365,367,105,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-W-001,DST-W-GT-01,General Trade,253,629,743,139,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-W-001,DST-W-MT-01,Modern Trade,144,493,495,142,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-W-001,DST-W-EC-01,E-commerce,68,307,328,47,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-W-002,DST-W-GT-01,General Trade,166,621,676,111,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-W-002,DST-W-MT-01,Modern Trade,145,484,511,118,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-W-002,DST-W-EC-01,E-commerce,85,276,318,43,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-N-001,DST-N-GT-01,General Trade,220,682,653,249,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-N-001,DST-N-MT-01,Modern Trade,106,407,467,46,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-N-001,DST-N-EC-01,E-commerce,78,294,288,84,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-N-002,DST-N-GT-01,General Trade,127,507,611,23,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-N-002,DST-N-MT-01,Modern Trade,112,484,477,119,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-N-002,DST-N-EC-01,E-commerce,90,282,316,56,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-E-001,DST-E-GT-01,General Trade,205,541,604,142,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-E-001,DST-E-MT-01,Modern Trade,154,430,462,122,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-E-001,DST-E-EC-01,E-commerce,91,241,273,59,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-E-002,DST-E-GT-01,General Trade,114,499,537,76,1,Healthy
2024-01-01,PH-HW-ALO-500,GEO-E-002,DST-E-MT-01,Modern Trade,88,315,378,25,0,Healthy
2024-01-01,PH-HW-ALO-500,GEO-E-002,DST-E-EC-01,E-commerce,67,259,271,55,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-S-001,DST-S-GT-01,General Trade,145,479,539,85,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-S-001,DST-S-MT-01,Modern Trade,138,344,405,77,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-S-001,DST-S-EC-01,E-commerce,68,253,261,60,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-S-002,DST-S-GT-01,General Trade,141,549,554,136,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-S-002,DST-S-MT-01,Modern Trade,94,385,430,49,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-S-002,DST-S-EC-01,E-commerce,79,272,269,82,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-W-001,DST-W-GT-01,General Trade,107,443,515,35,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-W-001,DST-W-MT-01,Modern Trade,84,302,368,18,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-W-001,DST-W-EC-01,E-commerce,64,218,232,50,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-W-002,DST-W-GT-01,General Trade,131,417,508,40,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-W-002,DST-W-MT-01,Modern Trade,115,319,383,51,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-W-002,DST-W-EC-01,E-commerce,54,251,266,39,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-N-001,DST-N-GT-01,General Trade,158,450,473,135,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-N-001,DST-N-MT-01,Modern Trade,109,307,362,54,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-N-001,DST-N-EC-01,E-commerce,67,226,221,72,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-N-002,DST-N-GT-01,General Trade,119,403,448,74,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-N-002,DST-N-MT-01,Modern Trade,105,317,335,87,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-N-002,DST-N-EC-01,E-commerce,49,188,219,18,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-E-001,DST-E-GT-01,General Trade,120,385,448,57,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-E-001,DST-E-MT-01,Modern Trade,61,305,295,71,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-E-001,DST-E-EC-01,E-commerce,43,172,205,10,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-E-002,DST-E-GT-01,General Trade,94,414,398,110,0,Healthy
2024-01-01,PH-BW-NEE-500,GEO-E-002,DST-E-MT-01,Modern Trade,107,289,317,79,1,Healthy
2024-01-01,PH-BW-NEE-500,GEO-E-002,DST-E-EC-01,E-commerce,52,167,201,18,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-S-001,DST-S-GT-01,General Trade,98,342,403,37,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-S-001,DST-S-MT-01,Modern Trade,85,253,300,38,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-S-001,DST-S-EC-01,E-commerce,41,177,190,28,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-S-002,DST-S-GT-01,General Trade,91,339,413,17,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-S-002,DST-S-MT-01,Modern Trade,68,258,295,31,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-S-002,DST-S-EC-01,E-commerce,62,169,185,46,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-W-001,DST-W-GT-01,General Trade,94,353,359,88,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-W-001,DST-W-MT-01,Modern Trade,64,238,282,20,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-W-001,DST-W-EC-01,E-commerce,51,183,193,41,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-W-002,DST-W-GT-01,General Trade,93,338,380,51,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-W-002,DST-W-MT-01,Modern Trade,66,257,278,45,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-W-002,DST-W-EC-01,E-commerce,51,159,184,26,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-N-001,DST-N-GT-01,General Trade,78,364,361,81,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-N-001,DST-N-MT-01,Modern Trade,54,225,256,23,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-N-001,DST-N-EC-01,E-commerce,52,161,162,51,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-N-002,DST-N-GT-01,General Trade,104,328,358,74,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-N-002,DST-N-MT-01,Modern Trade,68,223,258,33,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-N-002,DST-N-EC-01,E-commerce,50,150,175,25,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-E-001,DST-E-GT-01,General Trade,101,274,303,72,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-E-001,DST-E-MT-01,Modern Trade,53,216,212,57,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-E-001,DST-E-EC-01,E-commerce,46,128,137,37,0,Healthy
2024-01-01,PH-HW-ROS-250,GEO-E-002,DST-E-GT-01,General Trade,106,324,321,109,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-E-002,DST-E-MT-01,Modern Trade,78,216,238,56,1,Healthy
2024-01-01,PH-HW-ROS-250,GEO-E-002,DST-E-EC-01,E-commerce,41,141,143,39,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-S-001,DST-S-GT-01,General Trade,181,791,800,172,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-S-001,DST-S-MT-01,Modern Trade,156,666,636,186,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-S-001,DST-S-EC-01,E-commerce,96,323,373,46,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-S-002,DST-S-GT-01,General Trade,249,742,783,208,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-S-002,DST-S-MT-01,Modern Trade,152,591,616,127,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-S-002,DST-S-EC-01,E-commerce,103,391,384,110,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-W-001,DST-W-GT-01,General Trade,227,752,756,223,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-W-001,DST-W-MT-01,Modern Trade,194,487,556,125,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-W-001,DST-W-EC-01,E-commerce,88,310,368,30,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-W-002,DST-W-GT-01,General Trade,233,789,799,223,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-W-002,DST-W-MT-01,Modern Trade,140,462,561,41,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-W-002,DST-W-EC-01,E-commerce,130,330,372,88,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-N-001,DST-N-GT-01,General Trade,143,557,630,70,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-N-001,DST-N-MT-01,Modern Trade,120,456,507,69,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-N-001,DST-N-EC-01,E-commerce,94,286,318,62,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-N-002,DST-N-GT-01,General Trade,135,673,653,155,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-N-002,DST-N-MT-01,Modern Trade,128,439,490,77,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-N-002,DST-N-EC-01,E-commerce,96,331,325,102,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-E-001,DST-E-GT-01,General Trade,129,533,624,38,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-E-001,DST-E-MT-01,Modern Trade,123,435,422,136,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-E-001,DST-E-EC-01,E-commerce,77,260,289,48,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-E-002,DST-E-GT-01,General Trade,184,517,590,111,1,Healthy
2024-01-01,NB-GR-CHO-250,GEO-E-002,DST-E-MT-01,Modern Trade,99,397,440,56,0,Healthy
2024-01-01,NB-GR-CHO-250,GEO-E-002,DST-E-EC-01,E-commerce,92,293,301,84,1,Healthy
2024-01-01,NB-GR-HON-500,GEO-S-001,DST-S-GT-01,General Trade,200,544,616,128,1,Healthy
2024-01-01,NB-GR-HON-500,GEO-S-001,DST-S-MT-01,Modern Trade,97,479,470,106,0,Healthy
2024-01-01,NB-GR-HON-500,GEO-S-001,DST-S-EC-01,E-commerce,83,256,288,51,0,Healthy
2024-01-01,NB-GR-HON-500,GEO-S-002,DST-S-GT-01,General Trade,181,581,586,176,0,Healthy
2024-01-01,NB-GR-HON-500,GEO-S-002,DST-S-MT-01,Modern Trade,133,383,442,74,0,Healthy
2024-01-01,NB-GR-HON-500,GEO-S-002,DST-S-EC-01,E-commerce,91,284,292,83,1,Healthy
2024-01-01,NB-GR-HON-500,GEO-W-001,DST-W-GT-01,General Trade,168,582,566,184,0,Healthy
2024-01-01,NB-GR-HON-500,GEO-W-001,DST-W-MT-01,Modern Trade,115,365,398,82,1,Healthy
2024-01-01,NB-GR-HON-500,GEO-W-001,DST-W-EC-01,E-commerce,69,273,271,71,0,Healthy
2024-01-01,NB-GR-HON-500,GEO-W-002,DST-W-GT-01,General Trade,120,483,567,36,1,Healthy
